Product Name,Product ID,Listing Price,Sale Price,Discount,Brand,Description,Rating,Reviews,Last Visited,Gender,Product Type,Popularity
Women's adidas Originals I-5923 Shoes,EE4949,119.99,71.99,40,Adidas ORIGINALS,"Women's adidas Originals I-5923 Shoes: These lightweight shoes fuse '70s style with modern technology. Flashing retro colours, the leather upper is accented with stretchy mesh and faux suede details. Serrated 3-Stripes add a vintage detail. Responsive cushioning energises every stride.",2.0,39,2020-04-13 15:06:29,Women's product,footwear,medium popularity
Women's adidas ORIGINALS EQT RACING Low Shoes,BB2344,99.99,40.0,60,Adidas ORIGINALS,"Women's adidas ORIGINALS EQT RACING Low Shoes: These adidas Originals Equipment Racing shoes for women bring to you a clean and deconstructed upper made of mesh that promotes proper breathability to the feet. The textured grip tread along with TORSION system offers stability and it comes with adidas ""equipment"" logo on the tongue.",3.9,34,2020-04-13 15:06:29,Women's product,footwear,medium popularity
Unisex adidas Originals Skateboarding 3MC Shoes,EE6080,59.99,29.99,50,Adidas ORIGINALS,"Unisex adidas Originals Skateboarding 3MC Shoes: Combining skate-friendly design with a clean, classic profile, these shoes are in their element on or off the board. Highly versatile with style for everyone, they have a monochrome suede upper for a light, supple touch, plus a Geoflex outsole providing unmatched flexibility and grip. Heritage details include sidewalls with Gazelle-inspired texturing and the iconic heel patch.",1.0,67,2020-04-13 15:06:29,Unisex product,footwear,high popularity
Women's adidas Originals Supercourt Shoes,EE6047,79.99,47.99,40,Adidas ORIGINALS,"Women's adidas Originals Supercourt Shoes: A distillation of 40 years of adidas court style, these shoes serve up vintage vibes with a modern feel. They're crafted of supple leather in shades of tennis whites. For a refined touch, they're detailed with perforated 3-Stripes and a sculpted cupsole.",3.6,83,2020-04-13 15:06:29,Women's product,footwear,very high popularity
Women's adidas Sport Inspired Kaptir X Shoes,EF0078,75.99,45.59,40,Adidas CORE / NEO,"Women's adidas Sport Inspired Kaptir X Shoes: Fashion and running style flow together. These women's shoes make a statement on the street while feeling pillow-soft. Layers of plush cushioning combine with a foot-hugging fit for comprehensive comfort. The easy-on upper has a sleek, modern design and 3-Stripes to leave an impression.",2.2,49,2020-04-13 15:06:29,Women's product,footwear,medium popularity
Women's adidas Originals Continental 80 Shoes,EE5565,79.99,47.99,40,Adidas ORIGINALS,Women's adidas Originals Continental 80 Shoes: The Continental 80 is an authentic bringback of an indoor trainer from the '80s. These leather low top shoes show off a swooping stripe on the side and a split rubber cupsole.,3.2,64,2020-04-13 15:06:29,Women's product,footwear,high popularity
Women's adidas Originals Sambarose Shoes,EF4965,79.99,79.99,0,Adidas ORIGINALS,"Women's adidas Originals Sambarose Shoes: Go ahead. Send yourself some flowers. Buy yourself that fancy vegan cheesecake. Self-love is where it's at, so lace up these shoes and elevate it. Based on the now iconic adidas Samba, these SAMBAROSE shoes lift you up with an on-trend platform sole. Luxe leather keeps your look sleek and smooth. Printed hearts peak through the translucent sole and send love energy out into the world with every step you take.",4.0,18,2020-04-13 15:06:29,Women's product,footwear,low popularity
Women's adidas Originals I-5923 Shoes,EE4946,119.99,71.99,40,Adidas ORIGINALS,Women's adidas Originals I-5923 Shoes: These lightweight street shoes offer a shout-out to '70s running heritage. They're rebuilt for today with updated materials and responsive Boost cushioning in the midsole. The lace-like mesh upper features synthetic suede overlays for a retro look.,0.0,74,2020-04-13 15:06:29,Women's product,footwear,high popularity
WOMEN'S ADIDAS ORIGINALS EQT ADV RACING SHOES,B37090,99.99,49.99,50,Adidas ORIGINALS,"WOMEN'S ADIDAS ORIGINALS EQT ADV RACING SHOES: Heritage style, meet progressive design. These women's shoes feature a mesh upper and an archive-inspired lacing system. A crisp silhouette draws on '90s racing styles, while metallic details add a contemporary edge.",4.2,81,2020-04-13 15:06:29,Women's product,footwear,very high popularity
Women's adidas Sport Inspired Yatra Shoes,F36516,42.99,25.79,40,Adidas CORE / NEO,"Women's adidas Sport Inspired Yatra Shoes: A versatile look that nods to its roots. These running-inspired shoes have an airy mesh upper contrasted with sleek 3-Stripes. The lightweight build keeps you light on your toes, and plush cushioning ensures a smooth ride.",3.5,30,2020-04-13 15:06:29,Women's product,footwear,medium popularity
