Product Name,Sale Price,Listing Price,Currency,Color,Description,Country,Rating,Reviews,Gender,Product Type,Popularity
Essentials 3-Stripes Crop Top,20.0,25.0,USD,Black,"Essentials 3-Stripes Crop Top: You deserve comfort, and this crop top makes sure you get it. It also makes sure you're not just feeling good, but that you look good too. The minimalist, sporty build is all about versatility, which encourages you to make the look entirely yours. Layered, on its own, with high-waisted trousers or played down with sweats — you really can't go wrong. The soft cotton jersey fabric keeps you comfortable, even on the longest of days, with just the perfect amount of stretch.",USA,4.0,6,Women's product,clothing,low popularity
ZX 2K Boost Shoes,105.0,150.0,USD,White,ZX 2K Boost Shoes: The ZX stepped onto the scene as a revolutionary line of technical runners. These adidas ZX 2K Boost Shoes honor the spirit of innovation that drives change in tech and in culture. No-sew overlays add depth to the upper. Boost keeps your energy high so you're always moving forward.,USA,4.7,2540,Other,footwear,very high popularity
Lite Racer BYD 2.0 Shoes,56.0,70.0,USD,Blue,"Lite Racer BYD 2.0 Shoes: Simplicity, versatility and comfort. Lace up these running-inspired shoes on action-filled days. They're quick to slip on when you're racing out the door. The rubber outsole gives you traction on slippery and uneven surfaces. A Cloudfoam midsole is for a soft feel and all-day cushioning.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",USA,4.6,135,Men's product,footwear,high popularity
Essentials 3-Stripes Full-Zip Hoodie,44.0,55.0,USD,Blue,"Essentials 3-Stripes Full-Zip Hoodie: There are a lot of things we compromise on in life. Comfort isn't one of them. Not with this adidas hoodie, at least. It's made from soft, stretchy cotton to make sure nothing limits your movements. Whether you're warming up or laying low, the casual layer keeps you feeling good on all fronts.",USA,5.0,21,Women's product,clothing,low popularity
ZX 2K Boost 2.0 Shoes,105.0,150.0,USD,White,ZX 2K Boost 2.0 Shoes: ZXience expands the ZX universe with a glow. Step into the ZX 2K BOOST 2.0 to experience the cushioned comfort of the wrapped Boost midsole. Embrace the glow of the upper's bold luminous design. Eyes may widen. Embrace all sensations.,USA,4.7,58,Women's product,footwear,medium popularity
Racer TR21 Shoes,60.0,75.0,USD,Grey,"Racer TR21 Shoes: These adidas shoes bring the athletic style of running footwear to your everyday look. Move confidently through your day in a comfortably snug fit and a lightweight midsole that provides all-day cushioning underfoot.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",USA,4.8,78,Women's product,footwear,medium popularity
Aeromotion Pants,42.0,60.0,USD,Blue,"Aeromotion Pants: These adidas workout pants are made for cool-weather training sessions. The slim fit and lightweight feel ensure distraction-free comfort, and the fabric keeps your muscles warm and ready to move. Moisture-absorbing AEROREADY helps you stay dry. Cinch the drawcord on the elastic waist for just the right fit.

This product is made with Primegreen, a series of high-performance recycled materials.",USA,4.8,8,Men's product,clothing,low popularity
ZX 2K Boost 2.0 Shoes,105.0,150.0,USD,Black,"ZX 2K Boost 2.0 Shoes: In the '80s, the ZX series made some serious noise when it broke onto the running scene. Not a bad legacy to lace into. Put on these adidas ZX 2K Boost 2.0 Shoes and shake things up yourself. You'll stay comfortable as you do, thanks to plush cushioning.",USA,4.7,183,Men's product,footwear,very high popularity
Crew Sweatshirt,60.0,75.0,USD,Purple,"Crew Sweatshirt: Even in its simplest version, this adidas sweatshirt goes all in on drama. A metallic-gold Trefoil logo hints at what's in store. Open up the matching zips to reveal a mesh layer underneath. A silhouette transformed in seconds. Your comfort never changes, thanks to the ultra-soft French terry.",USA,5.0,1,Women's product,clothing,low popularity
Allover Print Camo Shorts and Tee Set,36.0,45.0,USD,Blue,"Allover Print Camo Shorts and Tee Set: They're so vibrant, not even camouflage can make them blend in. Get kids dressed to explore in this adidas shorts and t-shirt set. Bright yellow splashes on the camo shout to their unstoppable energy. Soft cotton fabric means they'll be comfy, no matter where their discoveries take them.

By buying cotton products from us, you're supporting more sustainable cotton farming.",USA,5.0,8,Other,clothing,low popularity
